generated_scaffold,nearest_reference_scaffold,max_tanimoto_similarity
O=C1C=CC(c2ccc(Nc3nccc(-c4cc[nH]c4)n3)cc2)C1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.34615384615384615
O=C1NCCc2ncc(-c3ccnc(NC4CC4)n3)nc21,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.3473684210526316
S=C1CCC(Nc2nccc(-c3cnc4[nH]cccc3-4)n2)C1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.34782608695652173
O=c1cc(-c2ccnc(NC3CC3)n2)ccn1CC1CC1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.34782608695652173
O=C1Nc2nc(-c3ccnc(NC4CC4)n3)cnc2C1N1CC1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.34831460674157305
c1cnnc(NC2CCC(Nc3nccc(-c4cn[nH]c4)n3)CC2)c1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.34831460674157305
c1cc(-c2ccnc(NC3CCOCC3)n2)cnn1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.34831460674157305
O=C1Cc2nc(-c3ccnc(NC4CC4)n3)cnc2CN1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.3488372093023256
c1cc(-c2cn[nH]c2)nc(NC2CCCN(C3CCCC3)CC2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.35
O=C1NCc2c(Cc3cnccc3-c3ccnc(NC4CC4)n3)cccc21,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.35
O=C1CCC(c2ccc(Nc3nccc(-c4cn[nH]c4)n3)cc2)=N1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.35064935064935066
O=C1NCN(c2cccc(-c3ccnc(NC4CC4)n3)c2)C1=O,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.35106382978723405
c1cc(-c2cn[nH]c2)nc(NC2CCOC2)n1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.3516483516483517
c1cc(-c2cn[nH]c2)nc(NC2CCNC2)n1,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,0.3522727272727273
c1cc(Nc2ccc(-c3ccnc(NC4CC4)n3)cc2)nc(NC2CC2)n1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.3522727272727273
c1cc(-c2cnc3c(c2)CNC3)nc(NC2CC2)n1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.35294117647058826
O=C1CCC(Nc2nccc(-c3ccnc(NC4CC4)n3)n2)N1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.35443037974683544
O=C1CN=C(Nc2ccc(-c3ccnc(NC4CC4)n3)cc2)N1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.3548387096774194
O=C1C=C(c2ccc(Nc3nccc(-c4cn[nH]c4)n3)cc2)CC1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.35526315789473684
c1cc(-c2cn[nH]c2)nc(NC2CCOCC2)n1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.35555555555555557
c1cc(-c2ccc(Nc3c[nH]cn3)cc2)nc(NC2CC2)n1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.35555555555555557
O=C(NC1CC1)c1ccc(Nc2nccc(-c3ccn[nH]3)n2)cc1,O=C1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCCCC4)cc3)ncc2N1,0.3557692307692308
O=C(c1ccccc1)N1CCC(Nc2nccc(-c3cn[nH]c3)n2)CC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.3564356435643564
c1cnc(C2CCOC2)c(Nc2ccnc(NC3CCCCC3)n2)c1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.3564356435643564
c1cc(-c2cncc(NC3CCC(NC4CC4)CC3)n2)nc(NC2CC2)n1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.35714285714285715
O=C1Cc2ncc(-c3ccnc(NC4CC4)n3)nc2N1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.35714285714285715
c1ccc(OC2CCC(Nc3nccc(-c4ccccn4)n3)CC2)cc1,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.35789473684210527
O=C(c1ccc(Nc2nccc(-c3cn[nH]c3)n2)cc1)N1CCCC1,O=C(Nc1ccc(Nc2nccc(-c3cccnc3)n2)cc1)c1ccccc1,0.35789473684210527
O=c1cc(-c2ccnc(NC3CCOC3)n2)cn[nH]1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.35789473684210527
O=C1CCN1c1nccc(-c2ccnc(NC3CC3)n2)n1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.35802469135802467
O=c1[nH]c(-c2ccc(-c3ccnc(NC4CC4)n3)cc2)no1,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.358695652173913
